大きい
小さい
長い
短い
高い
低い
重い
軽い
速い
遅い
新しい
古い
若い
古臭い
明るい
暗い
白い
黒い
赤い
青い
甘い
苦い
辛い
酸っぱい
しょっぱい
やさしい
厳しい
柔らかい
硬い
熱い
冷たい
ぬるい
忙しい
暇な
うるさい
静か
にぎやか
派手
地味
素直
頑固
曖昧
明確
大胆
慎重
適当
丁寧
雑
真面目
不真面目
突然
ゆっくり
そっと
ぐっすり
はっきり
ぼんやり
しっかり
なんとなく
うっかり
つい
かなり
少し
たくさん
ほとんど
まったく
全然
ずっと
たまに
頻繁に
急に
徐々に
一応
一気に
ひそかに
堂々と
こっそり
ばっちり
ぎりぎり
ふわふわ
ざっくり
眠い
鋭い
鈍い
細い
太い
深い
浅い
広い
狭い
近い
遠い
早め
遅め
激しい
穏やか
派手め
控えめ
豪快
繊細
無邪気
冷静
情熱的
理性的
感覚的
素早く
のんびり
きっちり
ずるずる
きっぱり
あっさり
こってり
じっとり
からっと
しっとり
ぴったり
ばらばら
ちらっと
じわじわ
ぐいっと
ふと
さっと
じっくり
みっちり
あわただしい
のどか
殺風景
華やか
素朴
人懐っこい
無愛想
気まずい
心地よい
不快
快適
不安定
安定的
不器用
器用
鋭敏
鈍感
健気
図々しい
奥ゆかしい
大雑把
神経質
大人しい
活発
内向的
外向的
即座に
徐々に
密かに
公然と
無意識に
意識的に
強引
温厚
頑丈
もろい
重厚
軽快
単調
複雑
簡潔
冗長
鮮やか
くすんだ
鋭角的
丸みのある
平坦
凸凹
滑らか
粗い
ねちっこい
さっぱり
もったいぶって
あからさま
露骨
漠然
明瞭
かわいい
かっこいい
美しい
醜い
賢い
愚かな
優秀
平凡
独特
普遍的
不思議
奇妙
珍しい
ありふれた
快い
不快な
爽やか
鬱陶しい
鋭利
鈍重
繊細な
大胆な
慎重な
無謀
積極的
消極的
前向き
後ろ向き
楽観的
悲観的
忙しない
のろい
迅速
緩慢
適切
不適切
正確
大まか
厳密
ルーズ
豪華
質素
洗練された
野暮
上品
下品
高尚
低俗
親切
冷酷
温かい
冷ややか
厳しい
優しい
朗らか
陰鬱
明朗
憂鬱
軽率
分別ある
即興的
計画的
偶然
必然的
劇的
平穏
騒がしい
静謐
鮮明
不鮮明
力強い
か弱い
頑丈
脆弱
重苦しい
軽やか
単純
複雑
面倒
容易
困難
微細
大雑把な
緻密
曖昧な
明白
即物的
抽象的
自然体
不自然
率直
遠慮がち
露骨な
控えめな
過剰
不足気味
十分
未熟
円熟
完璧
